link,created_at,uri,num_likes,num_reposts,num_replies,civic,text,source_feed,author_handle,handle,is_frequent_poster,did,prob_toxic,label_toxic,prob_affinity,label_affinity,prob_compassion,label_compassion,prob_constructive,label_constructive,prob_curiosity,label_curiosity,prob_nuance,label_nuance,prob_personal_story,label_personal_story,prob_alienation,label_alienation,prob_fearmongering,label_fearmongering,prob_generalization,label_generalization,prob_moral_outrage,label_moral_outrage,prob_scapegoating,label_scapegoating,total_engagement
https://bsky.app/profile/stuflemingnz.bsky.social/post/3knhplc7vta2r,2024-03-12T02:26:24.296Z,at://did:plc:dg5vxv3natjdyzjbo2hjv5g3/app.bsky.feed.post/3knhplc7vta2r,7357,2521,95,False,The King of England lies dying and one of his sons has been exiled. A princess has vanished. Plague stalks the land and the Treasury has been plundered. NOW is the time for strange women lying in ponds to distribute swords to form the basis of government.,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,stuflemingnz.bsky.social,stuflemingnz.bsky.social,False,at://did:plc:dg5vxv3natjdyzjbo2hjv5g3/app.bsky.feed.post/3knhplc7vta2r,0.3389984,0,0.043945573,0,0.17091095,0,0.20897695,0,0.0855105,0,0.24836068,0,0.06291008,0,0.6151978,1,0.53639126,1,0.5396467,1,0.46342754,0,0.4330075,0,9973
https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,2024-03-14T20:46:51.788Z,at://did:plc:5zfcmbupaqsvkiweknzwbt3x/app.bsky.feed.post/3knonywlopd24,4956,1439,39,False,This is the single funniest thing that an algorithm has ever done.,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,fallonturing.bsky.social,fallonturing.bsky.social,False,at://did:plc:5zfcmbupaqsvkiweknzwbt3x/app.bsky.feed.post/3knonywlopd24,0.09525062,0,0.1320083,0,0.07312866,0,0.115462564,0,0.05788904,0,0.08165393,0,0.21340905,0,0.34715152,0,0.19037059,0,0.2675741,0,0.24805763,0,0.19843441,0,6434
https://bsky.app/profile/jwgoerlich.bsky.social/post/3knogawk33c2h,2024-03-14T18:28:12.025Z,at://did:plc:njxcscm7gcrfrimdx3d7vupb/app.bsky.feed.post/3knogawk33c2h,4176,1269,28,False,Shel Silverstein doesn’t get nearly enough credit for predicting ChatGPT.,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,jwgoerlich.bsky.social,jwgoerlich.bsky.social,False,at://did:plc:njxcscm7gcrfrimdx3d7vupb/app.bsky.feed.post/3knogawk33c2h,0.027324399,0,0.072815776,0,0.2044055,0,0.27828732,0,0.09380275,0,0.099799976,0,0.11581159,0,0.2158515,0,0.07941056,0,0.32773858,0,0.14661552,0,0.123458266,0,5473
https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,2024-03-15T12:14:34.788Z,at://did:plc:nvfposmpmhegtyvhbs75s3pw/app.bsky.feed.post/3knqbtrdzrz2n,4325,819,145,True,that’s right. there is a lot of very good evidence that americans are just as productive with a four-day work week and much happier to boot. what’s the point of having such a wealth society if we are not going to try to benefit from it?,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,jbouie.bsky.social,jbouie.bsky.social,False,at://did:plc:nvfposmpmhegtyvhbs75s3pw/app.bsky.feed.post/3knqbtrdzrz2n,0.022728346,0,0.65290284,1,0.5037618,1,0.5905363,1,0.73864365,1,0.5458423,1,0.27965918,0,0.34862292,0,0.27888256,0,0.78512776,1,0.28775686,0,0.25185546,0,5289
https://bsky.app/profile/kashana.bsky.social/post/3kno37bon6326,2024-03-14T15:10:25.317Z,at://did:plc:a25kqnnqd7g4bvahjwz2enkh/app.bsky.feed.post/3kno37bon6326,3384,1272,73,True,"TikTok might be violating our privacy, which is why we need to make sure it’s owned by the people who think you should be tracked across state lines if you want an abortion.",https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,kashana.bsky.social,kashana.bsky.social,False,at://did:plc:a25kqnnqd7g4bvahjwz2enkh/app.bsky.feed.post/3kno37bon6326,0.121732734,0,0.21890815,0,0.5664949,1,0.45104355,0,0.12165971,0,0.25168148,0,0.08617879,0,0.5743664,1,0.53804886,1,0.71169376,1,0.6346971,1,0.67218614,1,4729
https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,2024-03-11T16:09:53.810Z,at://did:plc:xhmwhdq4pj2wh5jeucxjhay2/app.bsky.feed.post/3kngn4umr3z2e,3688,821,195,True,"The hill I will die on is that this is not a digital problem. We don't send younger kids out to play by themselves anymore for fear of kidnapping/CPS, and those kids become teens who don't do it either. There's also a loss of third spaces for teens. Even the freaking malls require chaperones.",https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,lethalityjane.bsky.social,lethalityjane.bsky.social,False,at://did:plc:xhmwhdq4pj2wh5jeucxjhay2/app.bsky.feed.post/3kngn4umr3z2e,0.4475325,0,0.59307545,1,0.58003664,1,0.66974515,1,0.29671258,0,0.5576981,1,0.5589702,1,0.38266787,0,0.5513331,1,0.75276494,1,0.43995115,0,0.25054792,0,4704
https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,2024-03-15T21:00:06.688Z,at://did:plc:sefgphqp2xqwh2hawaixykwz/app.bsky.feed.post/3knr77ifjqc2n,3087,1409,155,True,"Twitter is nuking every single post that mentions the name Hans Kristian Graebener, even in quotes. Everyone that posts it is getting hit. I've never seen sitewide censorship like this done specifically on behalf of a neo nazi.",https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up,esqueer.bsky.social,esqueer.bsky.social,False,at://did:plc:sefgphqp2xqwh2hawaixykwz/app.bsky.feed.post/3knr77ifjqc2n,0.32074678,0,0.21890815,0,0.29406664,0,0.52058876,1,0.132634,0,0.27206606,0,0.4915122,0,0.65745836,1,0.24462982,0,0.52885544,1,0.5189864,1,0.43728393,0,4651
https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,2024-03-16T01:35:51.039Z,at://did:plc:e5tipx5psciegfokh7ccnthc/app.bsky.feed.post/3knromke5nt2u,3420,1099,46,True,You are never alone in your experience of suffering. This story resonates deeply for me. I hope it does for others reading it.,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up,xphtherapy.bsky.social,xphtherapy.bsky.social,False,at://did:plc:e5tipx5psciegfokh7ccnthc/app.bsky.feed.post/3knromke5nt2u,0.015707577,0,0.78529406,1,0.8801619,1,0.49619472,0,0.31507698,0,0.24175529,0,0.5176821,1,0.08861968,0,0.4502132,0,0.09857229,0,0.067201935,0,0.028000265,0,4565
https://bsky.app/profile/iamspacegirl.bsky.social/post/3knegcr3e3u2x,2024-03-10T19:02:35.950Z,at://did:plc:6ewkadw7hiyvj5hsckbto3b6/app.bsky.feed.post/3knegcr3e3u2x,3625,797,87,True,Most traditional american jobs just don’t exist anymore. No longer can I build a giant object in my yard and charge people to see it. I am not allowed to descend a waterfall in a barrel for a hefty fee. My wagon full of questionable handmade potions has been sanctioned and seized by law enforcement.,https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,iamspacegirl.bsky.social,iamspacegirl.bsky.social,False,at://did:plc:6ewkadw7hiyvj5hsckbto3b6/app.bsky.feed.post/3knegcr3e3u2x,0.077668175,0,0.16568017,0,0.06678165,0,0.28523946,0,0.0758189,0,0.40649256,0,0.79144174,1,0.37980342,0,0.23422225,0,0.41832694,0,0.4240285,0,0.24016358,0,4509
https://bsky.app/profile/mwosam.bsky.social/post/3knjjjvjgmx2m,2024-03-12T19:43:35.140Z,at://did:plc:h4rsl4bmfgmofme5t6qxfu5u/app.bsky.feed.post/3knjjjvjgmx2m,3401,1044,62,False,"Our culture has real trouble grasping that we can't bring back what it felt like to see The Prisoner/Ghostbusters/Star Wars the first time by doing them again, because the thing that made them compelling is that they were different. We can only feel that feeling again by making more new things.",https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,mwosam.bsky.social,mwosam.bsky.social,False,at://did:plc:h4rsl4bmfgmofme5t6qxfu5u/app.bsky.feed.post/3knjjjvjgmx2m,0.02343543,0,0.34362122,0,0.15857893,0,0.56739014,1,0.17055956,0,0.4156753,0,0.37677228,0,0.17041478,0,0.118356,0,0.5419645,1,0.10192699,0,0.11043924,0,4507
https://bsky.app/profile/jbouie.bsky.social/post/3knqxnk2ils2i,2024-03-15T18:44:48.075Z,at://did:plc:nvfposmpmhegtyvhbs75s3pw/app.bsky.feed.post/3knqxnk2ils2i,3043,414,107,True,"the thing about the vances, the hawleys, the cottons and the desantises is that they all have loser energy, meaning they all have politics that seem to emerge from deep seated feelings of social inadequacy and resentment toward people with the status they crave",https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,jbouie.bsky.social,jbouie.bsky.social,False,at://did:plc:nvfposmpmhegtyvhbs75s3pw/app.bsky.feed.post/3knqxnk2ils2i,0.36095104,0,0.11183177,0,0.065012954,0,0.22228386,0,0.0910024,0,0.214554,0,0.16055275,0,0.8845896,1,0.057408676,0,0.8211091,1,0.5756094,1,0.3526949,0,3564
https://bsky.app/profile/sararoseg.bsky.social/post/3knlniky53223,2024-03-13T15:59:45.291Z,at://did:plc:zxoxz4jlbmjbobl5wmcvlri4/app.bsky.feed.post/3knlniky53223,2407,987,36,True,"JK Rowling is now claiming that the Nazis didn’t burn books on trans healthcare. In fact the Institut für Sexualwissenschaft (Institute for Sexology) was active in Berlin for 14 years until it, along with its libraries, were destroyed by the Nazis in 1933.",https://bsky.app/profile/did:plc:tenurhgjptubkk5zf5qhi3og/feed/catch-up-weekly,sararoseg.bsky.social,sararoseg.bsky.social,False,at://did:plc:zxoxz4jlbmjbobl5wmcvlri4/app.bsky.feed.post/3knlniky53223,0.20149297,0,0.060666207,0,0.23171476,0,0.5110417,1,0.14977454,0,0.5743849,1,0.19796546,0,0.6401155,1,0.11433243,0,0.51253134,1,0.5457315,1,0.4992013,0,3430
