,link,prompt,json_result,valid_json_response,hydrated_result,civic_label,political_label,reason_civic_label,reason_political_label
0,https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
that’s right. there is a lot of very good evidence that americans are just as productive with a four-day work week and much happier to boot. what’s the point of having such a wealth society if we are not going to try to benefit from it?
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning'}",civic,left-leaning,,
1,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
The hill I will die on is that this is not a digital problem. We don't send younger kids out to play by themselves anymore for fear of kidnapping/CPS, and those kids become teens who don't do it either. There's also a loss of third spaces for teens. Even the freaking malls require chaperones.
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning"",
""reason_civic"": ""The post discusses social issues such as child safety and community spaces, which are civic topics."",
""reason_political_ideology"": ""The post implies a critique of societal changes and the loss of community spaces, which is often associated with left-leaning ideologies.""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning', 'reason_civic': 'The post discusses social issues such as child safety and community spaces, which are civic topics.', 'reason_political_ideology': 'The post implies a critique of societal changes and the loss of community spaces, which is often associated with left-leaning ideologies.'}",civic,left-leaning,"The post discusses social issues such as child safety and community spaces, which are civic topics.","The post implies a critique of societal changes and the loss of community spaces, which is often associated with left-leaning ideologies."
2,https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
Twitter is nuking every single post that mentions the name Hans Kristian Graebener, even in quotes. Everyone that posts it is getting hit. I've never seen sitewide censorship like this done specifically on behalf of a neo nazi.
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning"",
""reason_civic"": ""The post discusses censorship on a social media platform, which is a social issue."",
""reason_political_ideology"": ""The post implies that Twitter is censoring content to protect a neo-Nazi, which is a left-leaning perspective.""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning', 'reason_civic': 'The post discusses censorship on a social media platform, which is a social issue.', 'reason_political_ideology': 'The post implies that Twitter is censoring content to protect a neo-Nazi, which is a left-leaning perspective.'}",civic,left-leaning,"The post discusses censorship on a social media platform, which is a social issue.","The post implies that Twitter is censoring content to protect a neo-Nazi, which is a left-leaning perspective."
3,https://bsky.app/profile/stuflemingnz.bsky.social/post/3knhplc7vta2r,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
The King of England lies dying and one of his sons has been exiled. A princess has vanished. Plague stalks the land and the Treasury has been plundered.

NOW is the time for strange women lying in ponds to distribute swords to form the basis of government.
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""not civic"",
""political_ideology"": ""unclear""
}",True,"{'civic': 'not civic', 'political_ideology': 'unclear'}",not civic,unclear,,
4,https://bsky.app/profile/sararoseg.bsky.social/post/3knlniky53223,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
JK Rowling is now claiming that the Nazis didn’t burn books on trans healthcare. 

In fact the Institut für Sexualwissenschaft (Institute for Sexology) was active in Berlin for 14 years until it, along with its libraries, were destroyed by the Nazis in 1933.

1/
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning"",
""reason_civic"": ""The post discusses a historical event related to social issues, specifically the destruction of an institute for sexology, which is a civic topic."",
""reason_political_ideology"": ""The post presents a fact-checking argument that corrects a misconception, which is a characteristic of left-leaning ideologies that value accuracy and truth.""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning', 'reason_civic': 'The post discusses a historical event related to social issues, specifically the destruction of an institute for sexology, which is a civic topic.', 'reason_political_ideology': 'The post presents a fact-checking argument that corrects a misconception, which is a characteristic of left-leaning ideologies that value accuracy and truth.'}",civic,left-leaning,"The post discusses a historical event related to social issues, specifically the destruction of an institute for sexology, which is a civic topic.","The post presents a fact-checking argument that corrects a misconception, which is a characteristic of left-leaning ideologies that value accuracy and truth."
5,https://bsky.app/profile/bachynski.bsky.social/post/3knvd764tfu2y,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
“On this St. Patrick’s Day… we are appealing to the conscience of Irish America. We ask Irish Americans in their capacity as citizens, as members of cultural and benevolent societies, as political leaders, to use their influence to avert a Famine as severe as the one faced by their ancestors.”
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning"",
""reason_civic"": ""The text is civic because it appeals to a group's influence to address a social issue, famine."",
""reason_political_ideology"": ""The text has a left-leaning ideology because it emphasizes the role of collective action and social responsibility.""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning', 'reason_civic': ""The text is civic because it appeals to a group's influence to address a social issue, famine."", 'reason_political_ideology': 'The text has a left-leaning ideology because it emphasizes the role of collective action and social responsibility.'}",civic,left-leaning,"The text is civic because it appeals to a group's influence to address a social issue, famine.",The text has a left-leaning ideology because it emphasizes the role of collective action and social responsibility.
6,https://bsky.app/profile/rainsurname.bsky.social/post/3knhl3db6jt2y,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
Did you know John Cena's bit at the Oscars was to support the costume designers' union, which is mostly female, which gets paid 30% less than the male-dominated departments? 

They may have to strike this summer, & their campaign motto is ""You're Naked Without Us.""
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning'}",civic,left-leaning,,
7,https://bsky.app/profile/jbouie.bsky.social/post/3knovwzjb4c2j,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
this is absolutely correct. one of the arguments i kept making in the aftermath of january 6 was that the attempt to turn a pro forma ceremony into a moment of real political contestation had revolutionary implications for american political life.
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""civic"",
""political_ideology"": ""left-leaning""
}",True,"{'civic': 'civic', 'political_ideology': 'left-leaning'}",civic,left-leaning,,
8,https://bsky.app/profile/jgownder.bsky.social/post/3knji5ltct32a,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
In a drastic attempt to protect their beachfront homes, residents in Salisbury, Massachusetts, invested $500,000 in a sand dune to defend against encroaching tides. After being completed last week, the barrier made from 14,000 tons of sand lasted just 72 hours before it was completely washed away
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
    ""civic"": ""not civic"",
    ""political_ideology"": ""unclear"",
    ""reason_civic"": """",
    ""reason_political_ideology"": """"
}",True,"{'civic': 'not civic', 'political_ideology': 'unclear', 'reason_civic': '', 'reason_political_ideology': ''}",not civic,unclear,,
9,https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,"

Pretend that you are a classifier that predicts whether a post has civic content or not. Civic refers to whether a given post is related to politics (government, elections, politicians, activism, etc.) or social issues (major issues that affect a large group of people, such as the economy, inequality, racism, education, immigration, human rights, the environment, etc.). We refer to any content that is classified as being either of these two categories as “civic”; otherwise they are not civic. Please classify the following text denoted in <text> as ""civic"" or ""not civic"". 

Then, if the post is civic, classify the text based on the political lean of the opinion or argument it presents. Your options are 'left-leaning', 'moderate', 'right-leaning', or 'unclear'. You are analyzing text that has been pre-identified as 'political' in nature. If the text is not civic, return ""unclear"".

Think through your response step by step.

Return in a JSON format in the following way:
{
    ""civic"": <two values, 'civic' or 'not civic'>,
    ""political_ideology"": <four values, 'left-leaning', 'moderate', 'right-leaning', 'unclear'>,
    ""reason_civic"": <optional, a 1 sentence reason for why the text is civic>,
    ""reason_political_ideology"": <optional, a 1 sentence reason for why the text has the given political ideology>
}


Here is the post text that needs to be classified:
```
<text>
This is the single funniest thing that an algorithm has ever done.
```


Justifications are not necessary.
Return ONLY the JSON. I will parse the string result in JSON format.
","{
""civic"": ""not civic"",
""political_ideology"": ""unclear""
}",True,"{'civic': 'not civic', 'political_ideology': 'unclear'}",not civic,unclear,,
