Topic,Count,Name,Representation,Representative_Docs,topic_id,generated_name
-1,14350,-1_people_like_trump_one,"['people', 'like', 'trump', 'one', 'think', 'get', 'would', 'time', 'know', 'us', 'also', 'right', 'good', 'going', 'election', 'make', 'really', 'want', 'new', 'even']","['friends important weekend election need every vote get every volunteer available get vote little hour enough make big difference help others join us elect harris president join mobilizeussj5oej9a', 'look man get want pretend like election already point pretty sure 2016', 'would like']",-1,Outliers
0,10656,0_people_trump_like_one,"['people', 'trump', 'like', 'one', 'harris', 'would', 'us', 'think', 'get', 'good', 'know', 'really', 'even', 'going', 'much', 'gaza', 'right', 'see', 'also', 'time']","['want able go docs prescription like anyone else go years waiting lists shithousery stupidity watching people talk people like daring voice actually maybe treat trans people like shit', 'obviously musk would never make data public really love know many twitter accounts deactivated today', 'probably think trump make work']",0,"""Political Opinions and Perspectives"""
1,414,1_russia_ukraine_russian_putin,"['russia', 'ukraine', 'russian', 'putin', 'ukrainian', 'war', 'nato', 'russias', 'us', 'nuclear', 'north', 'forces', 'weapons', 'korea', 'troops', 'russians', 'military', 'korean', 'ukraines', 'eu']","['putin explicitly threatened russia may attack western countries support ukrainian deep strikes russia rhetorically connected november 21 ballistic missile strike russian nuclear capabilities', 'officials say north korea sent troops russia would mean war ukraine', 'russia']",1,"""Russia-Ukraine Conflict"""
2,252,2_cat_dog_cats_dogs,"['cat', 'dog', 'cats', 'dogs', 'birds', 'species', 'bird', 'tree', 'rao', 'pets', 'animals', 'furry', 'get', 'like', 'plants', 'endangered', 'pica', 'know', 'kitten', 'pet']","['dog rug cat chair', 'cat world', 'cat']",2,"""Pets and Wildlife"""
3,190,3_book_books_reading_library,"['book', 'books', 'reading', 'library', 'read', 'novels', 'writing', 'story', 'write', 'novel', 'bookstores', 'writers', 'libraries', 'short', 'one', 'local', 'stories', 'chapter', 'authors', 'good']","['went childrens book reading awful', 'choose 20 books stayed influenced one book per day 20 days particular order explanations reviews covers book day booksky bookchallenge', 'whats book']",3,"""Literature and Reading"""
4,150,4_hurricane_weather_flood_advisory,"['hurricane', 'weather', 'flood', 'advisory', 'helene', 'additional', 'milton', 'nov', 'details', 'storm', 'snow', 'warning', 'issued', '00', '0000', 'watchedskysocialappalerts', 'iembot', 'flooding', 'coastal', 'high']","['memphisgermantown wfo nov 11 climate report high 74 low 50 precip 00 snow 00 snow depth tue 12 nov 2024 104103 0000 iembot additional details', 'quincy il nov 25 climate report high 57 low 30 precip 00 snow missing tue 26 nov 2024 082826 0000 iembot additional details', 'bridgeport ct nov 25 climate report high 54 low 31 precip 00 snow 00 snow depth tue 26 nov 2024 065034 0000 iembot additional details']",4,"""Severe Weather Alerts"""
5,130,5_education_teachers_teaching_school,"['education', 'teachers', 'teaching', 'school', 'schools', 'teach', 'kids', 'students', 'university', 'faculty', 'department', 'class', 'kid', 'colleges', 'student', 'universities', 'programs', 'taught', 'get', 'would']","['dismantling department education department education established president jimmy carter provides programs title funding lowachieving highpoverty k12 schools need support well pell grants undergraduate students high financial need', 'trump close department education', 'education education education']",5,"""Education and Teaching"""
6,126,6_art_draw_comic_drawing,"['art', 'draw', 'comic', 'drawing', 'comics', 'pencil', 'artist', 'artists', 'painting', 'love', 'drawings', 'sketch', 'like', 'cartoonist', 'time', 'drew', 'fun', 'book', 'thank', 'back']","['love art love looking art love imagining romantic colorful scenarios appreciating art absolutely love art artist', 'art genuinely favorite draw like chance draw nates art take years joy', 'art']",6,"""Art and Illustration"""
7,98,7_ai_generative_using_artificial,"['ai', 'generative', 'using', 'artificial', 'intelligence', 'art', 'use', 'llama', 'human', 'machine', 'source', 'new', 'really', 'models', 'training', 'technology', 'work', 'humans', 'hype', 'posts']","['lets act like issue continues grow see ai album covers ai concert flyers ai logos feed time sucks better', 'add ai search seems cut ai bullshit result', 'ai art please']",7,"""Generative AI Art"""
8,61,8_shop_friday_sell_buy,"['shop', 'friday', 'sell', 'buy', 'sale', 'black', 'print', 'prints', 'store', 'etsy', 'expensive', 'thank', 'art', 'online', 'also', 'charms', 'planning', 'portfolio', 'email', 'purchases']","['really one best places shop online friday go shop local mom pops stay away chains', 'thank shop drop happen friday', 'black mondaythursday sell sell sell black friday buy buy buy']",8,"""Black Friday Shopping"""
9,51,9_job_work_working_employees,"['job', 'work', 'working', 'employees', 'recruitment', 'remote', 'dudes', 'wage', 'hours', 'boss', 'apply', 'unskilled', 'walmart', 'unemployed', 'group', 'stores', 'employers', 'agencies', 'talk', 'nah']","['time another work four letters weeks edition talked joe qa software development state industry pick best minimum wage job ever also look dog', 'work people', 'sympathy job seekers struggling oneclick apply job sites create zero friction apply give much crap sift making hires job starting understand lot employers make process cumbersome']",9,"""Workplace Dynamics"""
10,44,10_china_chinese_kong_hong,"['china', 'chinese', 'kong', 'hong', 'beijing', 'chinas', 'xi', 'trump', 'trade', 'us', 'russia', 'meal', 'communist', 'limited', 'say', 'orange', 'war', 'says', 'sell', 'political']","['denying hong kong part china geopolitical statement hong kong part china', 'oh need say hong kong china', 'china says owns south china sea word china welcome planet america']",10,"""China-US Relations"""
11,44,11_coffee_drink_beer_morning,"['coffee', 'drink', 'beer', 'morning', 'wine', 'coffy', 'ounces', 'pints', 'vodka', 'whiskey', 'corrupts', 'kind', 'water', 'cup', 'dressed', 'houses', 'come', 'hour', 'election', '25']","['makes coffee checks election polling numbers adds vodka coffee', 'international coffee day wwwinstagramcomsoft_electro', 'coffee party']",11,"""Beverages and Libations"""
12,40,12_alt_text_images_accessibility,"['alt', 'text', 'images', 'accessibility', 'make', 'image', 'reposted', 'screen', 'captions', 'alts', 'require', 'alttext', 'words', 'csam', 'posting', 'add', 'people', 'use', 'way', 'post']","['reminder followers trying repost images alt text simple thing bluesky setting make post unless put alt text recommend everyone use', 'make post images without alt text settings accessibility require alt text straightforward way make internet usable', 'add alt text reminder whenever post settings accessibility require alt text posting']",12,"""Image Accessibility Practices"""
13,39,13_starter_pack_packs_add,"['starter', 'pack', 'packs', 'add', 'added', 'installer', 'cool', 'follow', 'finding', 'youd', 'let', 'accounts', 'latin', 'bluesky', 'know', 'hispanic', 'people', 'search', 'like', 'bunch']","['epic starter pack cool kids showed', 'tried set starter pack nazis bluesky end well', 'thanks starter pack']",13,"""Tech Installation Guides"""
14,35,14_elon_elons_elonia_bird,"['elon', 'elons', 'elonia', 'bird', 'keep', 'like', 'going', 'er', 'stephen', 'crap', 'return', 'twitter', 'everything', 'king', 'trump', 'leaving', 'hurt', 'trumps', 'think', 'look']","['tbh think people paid elon didnt help', 'think elon lie numbers like everything else _ツ_', 'er hope elon keep going']",14,"""Elon Musk Commentary"""
15,35,15_dress_fashion_clothes_trousers,"['dress', 'fashion', 'clothes', 'trousers', 'zoffy', 'scarf', 'jeans', 'clothing', 'costume', 'pockets', 'panty', 'outerwear', 'nudivember', 'roji', 'bridal', 'waterproof', 'outfits', 'fast', 'shorts', 'shirts']","['today instagram adverts feel like deserved slightest waterproof trousers jacket combo attachment points stop trousers falling balaclava also waterproof stay warm also keep away endless drizzle', 'today youll find envelope pockets highend mens outerwear polo coats four rows stitching sometimes done five something put onto country outerwear reinforce areas might get pulled bramble brush details require skill time make', 'fast fashion industry reputation exploiting workers excessive pollution extraordinary waste consumers pulled unhealthy spiraling pressure buy cheap clothes fall apart fast paula carbone writes']",15,"""Fashion and Apparel"""
16,33,16_yankees_mets_dodgers_series,"['yankees', 'mets', 'dodgers', 'series', 'mlb', 'world', 'baseball', 'teams', 'win', 'ohtani', 'fans', 'play', 'internment', 'hater', 'seed', 'stadium', 'parade', 'downtown', 'cbs', 'every']","['internment camp baseball back play shohei ohtani played world series japanese american ballplayers returned manzanar first baseball games internment camp since world war ii', 'mlb shows simulation predicts dodgers win world series mlb show take ball games every series', 'cbs newsla dodgers world series parade lights downtown fans celebrate championship win cbs news thousands descended downtown los angeles cheer dodgers teams first world series parade since 1988 many chanting name world series mvp freddie freeman']",16,"""Major League Baseball"""
17,33,17_pokemon_deck_tcg_cards,"['pokemon', 'deck', 'tcg', 'cards', 'pokmon', 'tera', 'venusaur', 'decks', 'card', 'mtg', 'game', 'event', 'mobile', 'build', 'still', 'play', 'bit', 'battle', 'enemies', 'rare']","['pretty new tcgs friends raving pokemon tcgp go easy copypaste 2707989310950456 pokemon pokemontcgp', 'tcg live wild bc like genuinely crazy bit moral clarity pokemon way input money whatsoever digital card game kids draining parents credit cards also could pay broken would class actions', 'new pokemon tcg mobile game open packs tcgpocketpokemoncomenus']",17,"""Trading Card Games"""
18,31,18_menu_profile_docker_font,"['menu', 'profile', 'docker', 'font', 'toolkit', 'logo', 'container', 'scrolling', 'notifications', 'short', 'screenshot', 'iphone', 'windows', 'tag', 'window', 'screen', 'size', 'annoying', 'find', 'picture']","['ios 18 safari menu find text size adjustments reader mode hide distracting items works per session', 'hey jenmsftbskysocial apologies annoying windows odd behavior question two monitors different resolutions eg laptop external drag window one short entirely determining monitor maximize', 'follow install instructions container toolkit registered docker docker needs restarted container toolkit docs docker run command use testing']",18,"""Tech Development Tools"""
