,link,gpt4_civic_label,gpt4_political_label,llama3-8b_civic_label,llama3-8b_political_label,llama3-70b_civic_label,llama3-70b_political_label,all_llms_agree_civic,llama_models_agree_civic,all_llms_agree_political_ideology,llama_models_agree_political_ideology
0,https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
1,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,civic,right-leaning,civic,right-leaning,civic,unclear,True,True,False,False
2,https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
3,https://bsky.app/profile/stuflemingnz.bsky.social/post/3knhplc7vta2r,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
4,https://bsky.app/profile/sararoseg.bsky.social/post/3knlniky53223,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
5,https://bsky.app/profile/bachynski.bsky.social/post/3knvd764tfu2y,civic,unclear,civic,left-leaning,civic,left-leaning,True,True,False,True
6,https://bsky.app/profile/rainsurname.bsky.social/post/3knhl3db6jt2y,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
7,https://bsky.app/profile/jgownder.bsky.social/post/3knji5ltct32a,civic,unclear,civic,unclear,not civic,unclear,False,False,True,True
8,https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,not civic,unclear,not civic,unclear,civic,left-leaning,False,False,False,False
9,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knnswnhia42r,civic,left-leaning,civic,unclear,civic,left-leaning,True,True,False,False
10,https://bsky.app/profile/newamauta.bsky.social/post/3knf4e4w7le22,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
11,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knnwnfo6cd2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
12,https://bsky.app/profile/jwgoerlich.bsky.social/post/3knogawk33c2h,not civic,unclear,not civic,unclear,not civic,unclear,True,True,True,True
13,https://bsky.app/profile/cvh.bsky.social/post/3knjs3ge2zo2u,civic,right-leaning,civic,right-leaning,civic,left-leaning,True,True,False,False
14,https://bsky.app/profile/kashana.bsky.social/post/3kno37bon6326,civic,left-leaning,civic,left-leaning,civic,left-leaning,True,True,True,True
15,https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,civic,unclear,civic,unclear,civic,left-leaning,True,True,False,False
16,https://bsky.app/profile/iamspacegirl.bsky.social/post/3knegcr3e3u2x,civic,right-leaning,not civic,unclear,not civic,unclear,False,True,False,True
