,link,civic_label,political_label,civic_hand_label,political_ideology_hand_label,has_context
0,https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,civic,left-leaning,civic,left-leaning,True
1,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,civic,unclear,civic,unclear,True
2,https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,civic,left-leaning,civic,left-leaning,True
3,https://bsky.app/profile/bachynski.bsky.social/post/3knvd764tfu2y,civic,left-leaning,civic,left-leaning,True
4,https://bsky.app/profile/rainsurname.bsky.social/post/3knhl3db6jt2y,civic,left-leaning,civic,left-leaning,True
5,https://bsky.app/profile/jbouie.bsky.social/post/3knovwzjb4c2j,civic,left-leaning,civic,left-leaning,True
6,https://bsky.app/profile/jgownder.bsky.social/post/3knji5ltct32a,not civic,unclear,not civic,,True
7,https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,civic,left-leaning,civic,left-leaning,True
8,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knnswnhia42r,civic,left-leaning,civic,left-leaning,True
9,https://bsky.app/profile/newamauta.bsky.social/post/3knf4e4w7le22,civic,left-leaning,not civic,,True
10,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knnwnfo6cd2m,civic,left-leaning,civic,left-leaning,True
11,https://bsky.app/profile/jwgoerlich.bsky.social/post/3knogawk33c2h,not civic,unclear,not civic,,True
12,https://bsky.app/profile/cvh.bsky.social/post/3knjs3ge2zo2u,civic,left-leaning,civic,left-leaning,True
13,https://bsky.app/profile/kashana.bsky.social/post/3kno37bon6326,civic,left-leaning,civic,left-leaning,True
14,https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,civic,left-leaning,civic,left-leaning,True
15,https://bsky.app/profile/sararoseg.bsky.social/post/3knloepgvdk2f,civic,left-leaning,civic,left-leaning,True
16,https://bsky.app/profile/jbouie.bsky.social/post/3knovykscwk2i,civic,moderate,civic,unclear,True
17,https://bsky.app/profile/markharris.bsky.social/post/3knjbkoqy3r2x,civic,left-leaning,civic,left-leaning,True
18,https://bsky.app/profile/gonebabygone.bsky.social/post/3knj3lcnwsk2y,civic,left-leaning,civic,unclear,True
19,https://bsky.app/profile/eladn.bsky.social/post/3knrbd6hnj42v,civic,left-leaning,civic,left-leaning,True
20,https://bsky.app/profile/fleerultra.bsky.social/post/3knofganxyk2z,civic,left-leaning,civic,left-leaning,True
21,https://bsky.app/profile/juliadoubleday.bsky.social/post/3knhlxhbewv2k,civic,left-leaning,civic,left-leaning,True
22,https://bsky.app/profile/normative.bsky.social/post/3knm3cftdos2r,civic,moderate,civic,unclear,True
23,https://bsky.app/profile/blueheronfarm.bsky.social/post/3knmci6lfht2e,not civic,unclear,not civic,,True
24,https://bsky.app/profile/nickkodama.bsky.social/post/3knlovhpnuk2b,not civic,unclear,not civic,,True
25,https://bsky.app/profile/knilirabaj.bsky.social/post/3knilna5ius2f,civic,left-leaning,civic,unclear,True
