uri,created_at,link,Link,Text,Retweets,Likes,Comments,Civic,Feed,Timestamp,author_handle,is_frequent_poster,did,text,prob_toxic,label_toxic,prob_affinity,label_affinity,prob_compassion,label_compassion,prob_constructive,label_constructive,prob_curiosity,label_curiosity,prob_nuance,label_nuance,prob_personal_story,label_personal_story,prob_alienation,label_alienation,prob_fearmongering,label_fearmongering,prob_generalization,label_generalization,prob_moral_outrage,label_moral_outrage,prob_scapegoating,label_scapegoating
at://did:plc:72bt6fsr5hgnesjtbpuc4av2/app.bsky.feed.post/3koeics756t22,2024-03-23T13:03:36.300Z,https://bsky.app/profile/electricalwsop.bsky.social/post/3koeics756t22,https://bsky.app/profile/electricalwsop.bsky.social/post/3koeics756t22,You mean the Jackedalope?,3,36,1,False,,,electricalwsop.bsky.social,False,at://did:plc:72bt6fsr5hgnesjtbpuc4av2/app.bsky.feed.post/3koeics756t22,You mean the Jackedalope?,0.05725329,0,0.07813416,0,0.06947151,0,0.07918409,0,0.56942,1,0.12761015,0,0.095864415,0,0.36983415,0,0.30296245,0,0.14727299,0,0.19860488,0,0.2045616,0
at://did:plc:b5reaargx5dufevvpwiw3uwz/app.bsky.feed.post/3koehxqag4a25,2024-03-23T12:57:24.800Z,https://bsky.app/profile/doedryadart.bsky.social/post/3koehxqag4a25,https://bsky.app/profile/doedryadart.bsky.social/post/3koehxqag4a25,Questionable elixir salesman. An old watercolor/ink character design,10,24,1,False,,,doedryadart.bsky.social,False,at://did:plc:b5reaargx5dufevvpwiw3uwz/app.bsky.feed.post/3koehxqag4a25,Questionable elixir salesman. An old watercolor/ink character design,0.07291982,0,0.08897218,0,0.06067711,0,0.20502599,0,0.120612115,0,0.2384713,0,0.2453918,0,0.31960478,0,0.15457156,0,0.11841835,0,0.22105931,0,0.1422529,0
at://did:plc:f5lxswkf3gcjwaamrija5t6i/app.bsky.feed.post/3koehx23wa22r,2024-03-23T12:57:02.774Z,https://bsky.app/profile/thatdoll.online/post/3koehx23wa22r,https://bsky.app/profile/thatdoll.online/post/3koehx23wa22r,..who's it gonna be 👀,2,13,1,False,,,thatdoll.online,False,at://did:plc:f5lxswkf3gcjwaamrija5t6i/app.bsky.feed.post/3koehx23wa22r,..who's it gonna be 👀,0.024849601,0,0.13676605,0,0.14891115,0,0.07918409,0,0.39216214,0,0.0834797,0,0.10767364,0,0.25799766,0,0.38023162,0,0.17437504,0,0.24593034,0,0.23630688,0
at://did:plc:n3kx3cx5cwofnfcs6vu7cg5s/app.bsky.feed.post/3koehs5afa32g,2024-03-23T12:54:17.465Z,https://bsky.app/profile/badboy.wifeguy.online/post/3koehs5afa32g,https://bsky.app/profile/badboy.wifeguy.online/post/3koehs5afa32g,brainstorming how im gonna make my eventual pivot to right wing grifter,0,16,4,True,,,badboy.wifeguy.online,False,at://did:plc:n3kx3cx5cwofnfcs6vu7cg5s/app.bsky.feed.post/3koehs5afa32g,brainstorming how im gonna make my eventual pivot to right wing grifter,0.29039988,0,0.3836033,0,0.058133416,0,0.07918409,0,0.07157431,0,0.0834797,0,0.46453658,0,0.67403203,1,0.23163046,0,0.34686077,0,0.38834086,0,0.25579134,0
at://did:plc:6sdn2o7q6tpzfwkcqdinx5sw/app.bsky.feed.post/3koehoj7lns25,2024-03-23T12:52:15.923Z,https://bsky.app/profile/thetattooedprof.bsky.social/post/3koehoj7lns25,https://bsky.app/profile/thetattooedprof.bsky.social/post/3koehoj7lns25,"Anyway, should probably not read op-eds about higher education before I've had coffee.",1,17,5,False,,,thetattooedprof.bsky.social,False,at://did:plc:6sdn2o7q6tpzfwkcqdinx5sw/app.bsky.feed.post/3koehoj7lns25,"Anyway, should probably not read op-eds about higher education before I've had coffee.",0.01847211,0,0.16568017,0,0.08360307,0,0.12649381,0,0.084609546,0,0.08439999,0,0.3235492,0,0.38123474,0,0.17677198,0,0.34861264,0,0.252337,0,0.22992302,0
at://did:plc:e6666w43nycctqshj27fl56a/app.bsky.feed.post/3koehmcn56v25,2024-03-23T12:51:01.732Z,https://bsky.app/profile/clueless.bsky.social/post/3koehmcn56v25,https://bsky.app/profile/clueless.bsky.social/post/3koehmcn56v25,"happy saturday morning, i’ve been watching a swing-dancing mormon couple on instagram reels for
like 45 straight minutes……. its like anthropological study",0,12,1,False,,,clueless.bsky.social,False,at://did:plc:e6666w43nycctqshj27fl56a/app.bsky.feed.post/3koehmcn56v25,"happy saturday morning, i’ve been watching a swing-dancing mormon couple on instagram reels for
like 45 straight minutes……. its like anthropological study",0.112746716,0,0.18036744,0,0.08756644,0,0.12838791,0,0.074962124,0,0.10903197,0,0.55287766,1,0.30697224,0,0.05413054,0,0.11569369,0,0.16321267,0,0.11361808,0
at://did:plc:hi65gqpx4lylb6wcyuhhmtla/app.bsky.feed.post/3koehln5zwp2c,2024-03-23T12:50:40.252Z,https://bsky.app/profile/voiceofkosh.bsky.social/post/3koehln5zwp2c,https://bsky.app/profile/voiceofkosh.bsky.social/post/3koehln5zwp2c,"I took some better photos of my Death Guard Daemon Prince. He's very old now (back before
I put things on bases apparently 😄) but I still love him. His name is Farty McFly.",1,16,2,False,,,voiceofkosh.bsky.social,False,at://did:plc:hi65gqpx4lylb6wcyuhhmtla/app.bsky.feed.post/3koehln5zwp2c,"I took some better photos of my Death Guard Daemon Prince. He's very old now (back before
I put things on bases apparently 😄) but I still love him. His name is Farty McFly.",0.09438288,0,0.23767464,0,0.08262517,0,0.38181353,0,0.11440699,0,0.33932132,0,0.64088595,1,0.14445479,0,0.021435212,0,0.030566828,0,0.059352368,0,0.0092427125,0
at://did:plc:w74gp6ztugdn7f6r57cs6wzo/app.bsky.feed.post/3koehjm4anu2b,2024-03-23T12:49:30.928Z,https://bsky.app/profile/emilyatlast.bsky.social/post/3koehjm4anu2b,https://bsky.app/profile/emilyatlast.bsky.social/post/3koehjm4anu2b,"“The right doesn’t have any good songs”. Or art, or comedy, or books…",1,13,0,True,,,emilyatlast.bsky.social,False,at://did:plc:w74gp6ztugdn7f6r57cs6wzo/app.bsky.feed.post/3koehjm4anu2b,"“The right doesn’t have any good songs”. Or art, or comedy, or books…",0.13041082,0,0.08714753,0,0.0350017,0,0.087319076,0,0.09854957,0,0.09097979,0,0.07419816,0,0.6642404,1,0.106330596,0,0.78473717,1,0.5031922,1,0.42788437,0
at://did:plc:lzv6fvlgujwevub44fjgrr23/app.bsky.feed.post/3koehjjxx5t2e,2024-03-23T12:49:28.553Z,https://bsky.app/profile/alexwild.bsky.social/post/3koehjjxx5t2e,https://bsky.app/profile/alexwild.bsky.social/post/3koehjjxx5t2e,Just because the Ku Klux Klan now goes by fancier names like “Chris Rufo” doesn’t mean it isn’t still the Klan.,4,16,0,True,,,alexwild.bsky.social,False,at://did:plc:lzv6fvlgujwevub44fjgrr23/app.bsky.feed.post/3koehjjxx5t2e,Just because the Ku Klux Klan now goes by fancier names like “Chris Rufo” doesn’t mean it isn’t still the Klan.,0.16158698,0,0.01723619,0,0.045287177,0,0.34232143,0,0.09951106,0,0.28765815,0,0.10591495,0,0.61367536,1,0.10259992,0,0.57613695,1,0.36323997,0,0.24533865,0
at://did:plc:66lbtw2porscqpmair6mir37/app.bsky.feed.post/3koehjgtk7o22,2024-03-23T12:49:24.426Z,https://bsky.app/profile/ketanjoshi.co/post/3koehjgtk7o22,https://bsky.app/profile/ketanjoshi.co/post/3koehjgtk7o22,"""These stories are increasingly pessimistic: the comet hits, the zombies reign, the planet burns. There is simply no end of ends""",2,17,2,False,,,ketanjoshi.co,False,at://did:plc:66lbtw2porscqpmair6mir37/app.bsky.feed.post/3koehjgtk7o22,"""These stories are increasingly pessimistic: the comet hits, the zombies reign, the planet burns. There is simply no end of ends""",0.112643376,0,0.1011181,0,0.09889726,0,0.12743886,0,0.09568947,0,0.10283129,0,0.05389532,0,0.43452495,0,0.7182341,1,0.5188714,1,0.3273286,0,0.3784637,0
