,link,gpt4_civic_label,gpt4_political_label,llama3-8b_civic_label,llama3-8b_political_label,llama3-70b_civic_label,llama3-70b_political_label,civic_hand_label,political_ideology_hand_label
0,https://bsky.app/profile/jbouie.bsky.social/post/3knqbtrdzrz2n,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
1,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn4umr3z2e,civic,right-leaning,civic,right-leaning,civic,unclear,civic,unclear
2,https://bsky.app/profile/esqueer.bsky.social/post/3knr77ifjqc2n,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
3,https://bsky.app/profile/stuflemingnz.bsky.social/post/3knhplc7vta2r,not civic,,not civic,unclear,not civic,unclear,not civic,
4,https://bsky.app/profile/sararoseg.bsky.social/post/3knlniky53223,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
5,https://bsky.app/profile/bachynski.bsky.social/post/3knvd764tfu2y,civic,unclear,civic,left-leaning,civic,left-leaning,civic,left-leaning
6,https://bsky.app/profile/rainsurname.bsky.social/post/3knhl3db6jt2y,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
7,https://bsky.app/profile/jgownder.bsky.social/post/3knji5ltct32a,civic,unclear,civic,unclear,not civic,unclear,not civic,
8,https://bsky.app/profile/fallonturing.bsky.social/post/3knonywlopd24,not civic,,not civic,unclear,civic,left-leaning,civic,left-leaning
9,https://bsky.app/profile/gbbranstetter.bsky.social/post/3knnswnhia42r,civic,left-leaning,civic,unclear,civic,left-leaning,civic,left-leaning
10,https://bsky.app/profile/newamauta.bsky.social/post/3knf4e4w7le22,civic,left-leaning,civic,left-leaning,civic,left-leaning,not civic,
11,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knnwnfo6cd2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
12,https://bsky.app/profile/jwgoerlich.bsky.social/post/3knogawk33c2h,not civic,,not civic,unclear,not civic,unclear,not civic,
13,https://bsky.app/profile/cvh.bsky.social/post/3knjs3ge2zo2u,civic,right-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
14,https://bsky.app/profile/kashana.bsky.social/post/3kno37bon6326,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
15,https://bsky.app/profile/xphtherapy.bsky.social/post/3knromke5nt2u,civic,unclear,civic,unclear,civic,left-leaning,civic,left-leaning
16,https://bsky.app/profile/iamspacegirl.bsky.social/post/3knegcr3e3u2x,civic,right-leaning,not civic,unclear,not civic,unclear,not civic,
17,https://bsky.app/profile/mwosam.bsky.social/post/3knjjjvjgmx2m,not civic,,not civic,unclear,not civic,unclear,not civic,
18,https://bsky.app/profile/sararoseg.bsky.social/post/3knloepgvdk2f,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
19,https://bsky.app/profile/breelundberg.com/post/3kngwl2iigl2m,civic,left-leaning,civic,left-leaning,civic,left-leaning,not civic,
20,https://bsky.app/profile/jbouie.bsky.social/post/3knovykscwk2i,civic,right-leaning,civic,moderate,civic,moderate,civic,unclear
21,https://bsky.app/profile/markharris.bsky.social/post/3knjbkoqy3r2x,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
22,https://bsky.app/profile/gonebabygone.bsky.social/post/3knj3lcnwsk2y,civic,unclear,civic,unclear,civic,left-leaning,civic,unclear
23,https://bsky.app/profile/eladn.bsky.social/post/3knrbd6hnj42v,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
24,https://bsky.app/profile/jbouie.bsky.social/post/3knqxnk2ils2i,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
25,https://bsky.app/profile/fleerultra.bsky.social/post/3knofganxyk2z,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
26,https://bsky.app/profile/juliadoubleday.bsky.social/post/3knhlxhbewv2k,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
27,https://bsky.app/profile/normative.bsky.social/post/3knm3cftdos2r,civic,unclear,civic,left-leaning,civic,moderate,civic,unclear
28,https://bsky.app/profile/notalawyer.bsky.social/post/3knhajqkgv22z,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
29,https://bsky.app/profile/chriswarcraft.bsky.social/post/3knrdpdp7xd2b,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
30,https://bsky.app/profile/nickkodama.bsky.social/post/3knlovhpnuk2b,not civic,,not civic,unclear,not civic,unclear,not civic,
31,https://bsky.app/profile/internethippo.bsky.social/post/3knrrzek5h42v,not civic,,civic,left-leaning,civic,left-leaning,not civic,
32,https://bsky.app/profile/knilirabaj.bsky.social/post/3knilna5ius2f,civic,unclear,civic,left-leaning,civic,left-leaning,civic,unclear
33,https://bsky.app/profile/emily.gorcen.ski/post/3kngrwzy7uv2k,civic,left-leaning,civic,right-leaning,civic,right-leaning,civic,
34,https://bsky.app/profile/paleofuture.bsky.social/post/3knf43s66bk2n,not civic,,civic,left-leaning,civic,left-leaning,civic,left-leaning
35,https://bsky.app/profile/sararoseg.bsky.social/post/3knlnrllvyk2k,civic,left-leaning,not civic,unclear,not civic,unclear,civic,unclear
36,https://bsky.app/profile/kenwhite.bsky.social/post/3knri26gx5k25,not civic,,not civic,unclear,not civic,unclear,not civic,
37,https://bsky.app/profile/safety.bsky.app/post/3knjj6y6yoi2i,not civic,,civic,right-leaning,civic,unclear,not civic,
38,https://bsky.app/profile/spavel.bsky.social/post/3knjycv45ik2a,not civic,,civic,left-leaning,civic,left-leaning,not civic,
39,https://bsky.app/profile/lordbusinessman.bsky.social/post/3kngffmjlss2n,not civic,,civic,right-leaning,civic,right-leaning,not civic,
40,https://bsky.app/profile/kashana.bsky.social/post/3knlxntshtk2h,civic,unclear,not civic,unclear,not civic,unclear,civic,left-leaning
41,https://bsky.app/profile/ovna.dev/post/3knef6wfc4l2d,not civic,,civic,left-leaning,civic,left-leaning,not civic,
42,https://bsky.app/profile/evangreer.bsky.social/post/3knk45rdb722i,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,left-leaning
43,https://bsky.app/profile/vpsreports.bsky.social/post/3knpgffqs6k2a,civic,left-leaning,civic,right-leaning,civic,left-leaning,civic,unclear
44,https://bsky.app/profile/edithcharles.bsky.social/post/3knppw6m6ym2b,not civic,,not civic,unclear,not civic,unclear,not civic,
45,https://bsky.app/profile/kilgoretrout.bsky.social/post/3knjfwno4dy2l,not civic,,not civic,unclear,not civic,unclear,civic,left-leaning
46,https://bsky.app/profile/jrbolt.bsky.social/post/3knkfjwpchs22,not civic,,not civic,unclear,not civic,unclear,not civic,
47,https://bsky.app/profile/thielman.bsky.social/post/3knevenneex2b,not civic,,civic,left-leaning,civic,left-leaning,not civic,
48,https://bsky.app/profile/theradr.bsky.social/post/3knk7aq4twk24,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
49,https://bsky.app/profile/rhi.bsky.social/post/3kninwdz6ef2d,not civic,,civic,left-leaning,civic,left-leaning,not civic,
50,https://bsky.app/profile/chantalalive.bsky.social/post/3knr4vrmebc2h,civic,left-leaning,civic,unclear,not civic,unclear,civic,left-leaning
51,https://bsky.app/profile/michaelhobbes.bsky.social/post/3knlu4j5v7s2s,not civic,,civic,right-leaning,civic,moderate,civic,unclear
52,https://bsky.app/profile/kenklippenstein.bsky.social/post/3knt74lknoi2y,civic,left-leaning,not civic,unclear,not civic,unclear,civic,unclear
53,https://bsky.app/profile/profmusgrave.bsky.social/post/3kngl45twie23,civic,left-leaning,civic,left-leaning,civic,left-leaning,civic,left-leaning
54,https://bsky.app/profile/rbreich.bsky.social/post/3kntuqzkjq22f,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
55,https://bsky.app/profile/johnrogers.bsky.social/post/3knqkvrpipc2y,civic,left-leaning,civic,unclear,civic,unclear,civic,left-leaning
56,https://bsky.app/profile/martian-observer.art/post/3knqeo5m6q62v,not civic,,not civic,unclear,not civic,unclear,not civic,
57,https://bsky.app/profile/markwaid.bsky.social/post/3knowtron3322,civic,unclear,civic,left-leaning,civic,left-leaning,civic,unclear
58,https://bsky.app/profile/boner.ink/post/3knorjh36a525,not civic,,not civic,unclear,not civic,unclear,not civic,
59,https://bsky.app/profile/kellybarnhill.bsky.social/post/3knljdq4r6m2k,civic,left-leaning,civic,right-leaning,not civic,unclear,civic,left-leaning
60,https://bsky.app/profile/carlbergstrom.com/post/3knqlji4zgl2d,civic,unclear,not civic,unclear,civic,unclear,not civic,
61,https://bsky.app/profile/dell.bsky.social/post/3knhruxvhn32x,not civic,,civic,right-leaning,not civic,unclear,not civic,
62,https://bsky.app/profile/planet4589.bsky.social/post/3knkdm737is2l,not civic,,civic,left-leaning,civic,left-leaning,not civic,
63,https://bsky.app/profile/lethalityjane.bsky.social/post/3kngn7cloxu2w,civic,right-leaning,civic,unclear,civic,left-leaning,civic,right-leaning
64,https://bsky.app/profile/scottsantens.com/post/3knqkh2es7k2i,civic,left-leaning,civic,unclear,not civic,unclear,civic,left-leaning
65,https://bsky.app/profile/mangmangmang.bsky.social/post/3kno26hkn222u,not civic,,civic,left-leaning,civic,left-leaning,not civic,
66,https://bsky.app/profile/newamauta.bsky.social/post/3knrn5ary4c2t,civic,left-leaning,not civic,unclear,not civic,unclear,civic,unclear
67,https://bsky.app/profile/mtsw.bsky.social/post/3knotbzuddk2p,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
68,https://bsky.app/profile/alishagrauso.bsky.social/post/3kndutirhrd2z,not civic,,civic,left-leaning,civic,left-leaning,not civic,
69,https://bsky.app/profile/rzhongnotes.bsky.social/post/3knfdpymu3x2b,not civic,,not civic,unclear,civic,left-leaning,not civic,
70,https://bsky.app/profile/nycsouthpaw.bsky.social/post/3kntar6c6ps2o,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
71,https://bsky.app/profile/secretaboutbox.bsky.social/post/3knlqwt2l322n,civic,left-leaning,not civic,unclear,not civic,unclear,civic,left-leaning
72,https://bsky.app/profile/adamcsharp.bsky.social/post/3kndmavqtkt2s,not civic,,civic,left-leaning,civic,left-leaning,not civic,
